file;width;height;modified
bmp_bootloader_plug_usb;111;59;2025-11-09 16:23:56
bmp_bootloader_usb_plugged;52;54;2025-11-09 16:23:56
bmp_logo_edgetx_splash;271;257;2025-11-09 16:23:56
bmp_radio_stick_background;90;90;2025-11-09 16:23:56
bmp_radio_stick_pointer;20;20;2025-11-09 16:23:56
mask_icon_edgetx;30;30;2025-11-09 16:23:56
mask_icon_menu_favs;30;30;2025-11-09 16:23:56
mask_icon_menu_manage_models;30;30;2025-11-09 16:23:56
mask_icon_menu_model_setup;30;30;2025-11-09 16:23:56
mask_icon_menu_radio_setup;30;30;2025-11-09 16:23:56
mask_icon_menu_ui_setup;30;30;2025-11-09 16:23:56
mask_icon_menu_tools;30;30;2025-11-09 16:23:56
mask_menu_edgetx;122;25;2025-11-09 16:23:56
mask_icon_model_curves;30;30;2025-11-09 16:23:56
mask_icon_model_flight_modes;30;30;2025-11-09 16:23:56
mask_icon_model_general;30;30;2025-11-09 16:23:56
mask_icon_model_gvars;30;30;2025-11-09 16:23:56
mask_icon_model_heli;30;30;2025-11-09 16:23:56
mask_icon_model_inputs;30;30;2025-11-09 16:23:56
mask_icon_model_logical_switches;30;30;2025-11-09 16:23:56
mask_icon_model_mixer;30;30;2025-11-09 16:23:56
mask_icon_model_mixer_scripts;30;30;2025-11-09 16:23:56
mask_icon_model_notes;30;30;2025-11-09 16:23:56
mask_icon_model_outputs;30;30;2025-11-09 16:23:56
mask_icon_model_special_functions;30;30;2025-11-09 16:23:56
mask_icon_model_telemetry;30;30;2025-11-09 16:23:56
mask_icon_model_timers;30;30;2025-11-09 16:23:56
mask_icon_model_usb;30;30;2025-11-09 16:23:56
mask_icon_radio_about;30;30;2025-11-09 16:23:56
mask_icon_radio_analogs;30;30;2025-11-03 09:15:18
mask_icon_radio_calibration;30;30;2025-11-09 16:23:56
mask_icon_radio_general;30;30;2025-11-09 16:23:56
mask_icon_radio_global_functions;30;30;2025-11-09 16:23:56
mask_icon_radio_hardware;30;30;2025-11-09 16:23:56
