"file"; 320x240; 480x272; 800x480
bmp_bootloader_plug_usb; 89x47; 111x59; 153x81
bmp_bootloader_usb_plugged; 42x43; 52x54; 72x74
bmp_logo_edgetx_splash; 217x206; 271x257; 373x353
bmp_radio_stick_background; 72x72; 90x90; 124x124
bmp_radio_stick_pointer; 16x16; 20x20; 28x28
mask_icon_edgetx; 24x24; 30x30; 41x41
mask_icon_menu_favs; 24x24; 30x30; 41x41
mask_icon_menu_manage_models; 24x24; 30x30; 41x41
mask_icon_menu_model_setup; 24x24; 30x30; 41x41
mask_icon_menu_radio_setup; 24x24; 30x30; 41x41
mask_icon_menu_tools; 24x24; 30x30; 41x41
mask_icon_menu_ui_setup; 24x24; 30x30; 41x41
mask_icon_model_curves; 24x24; 30x30; 41x41
mask_icon_model_flight_modes; 24x24; 30x30; 41x41
mask_icon_model_general; 24x24; 30x30; 41x41
mask_icon_model_gvars; 24x24; 30x30; 41x41
mask_icon_model_heli; 24x24; 30x30; 41x41
mask_icon_model_inputs; 24x24; 30x30; 41x41
mask_icon_model_logical_switches; 24x24; 30x30; 41x41
mask_icon_model_mixer; 24x24; 30x30; 41x41
mask_icon_model_mixer_scripts; 24x24; 30x30; 41x41
mask_icon_model_notes; 24x24; 30x30; 41x41
mask_icon_model_outputs; 24x24; 30x30; 41x41
mask_icon_model_special_functions; 24x24; 30x30; 41x41
mask_icon_model_telemetry; 24x24; 30x30; 41x41
mask_icon_model_timers; 24x24; 30x30; 41x41
mask_icon_model_usb; 24x24; 30x30; 41x41
mask_icon_radio_about; 24x24; 30x30; 41x41
mask_icon_radio_analogs; 24x24; 30x30; 41x41
mask_icon_radio_calibration; 24x24; 30x30; 41x41
mask_icon_radio_general; 24x24; 30x30; 41x41
mask_icon_radio_global_functions; 24x24; 30x30; 41x41
mask_icon_radio_hardware; 24x24; 30x30; 41x41
mask_icon_radio_trainer; 24x24; 30x30; 41x41
mask_icon_tools_apps; 24x24; 30x30; 41x41
mask_icon_tools_debug; 24x24; 30x30; 41x41
mask_icon_tools_monitor_ch; 24x24; 30x30; 41x41
mask_icon_tools_monitor_ls; 24x24; 30x30; 41x41
mask_icon_tools_reset; 24x24; 30x30; 41x41
mask_icon_tools_stats; 24x24; 30x30; 41x41
mask_icon_tools_storage; 24x24; 30x30; 41x41
mask_icon_ui_themes; 24x24; 30x30; 41x41
mask_icon_ui_topbar_setup; 24x24; 30x30; 41x41
mask_icon_ui_view1; 24x24; 30x30; 41x41
mask_icon_ui_view10; 24x24; 30x30; 41x41
mask_icon_ui_view2; 24x24; 30x30; 41x41
mask_icon_ui_view3; 24x24; 30x30; 41x41
mask_icon_ui_view4; 24x24; 30x30; 41x41
mask_icon_ui_view5; 24x24; 30x30; 41x41
mask_icon_ui_view6; 24x24; 30x30; 41x41
mask_icon_ui_view7; 24x24; 30x30; 41x41
mask_icon_ui_view8; 24x24; 30x30; 41x41
mask_icon_ui_view9; 24x24; 30x30; 41x41
mask_icon_ui_view_add; 24x24; 30x30; 41x41
mask_info_busy; 77x77; 96x96; 132x132
mask_info_error; 77x77; 96x96; 132x132
mask_info_shutdown; 77x77; 96x96; 132x132
mask_info_shutdown_circle0; 60x60; 75x75; 103x103
mask_info_shutdown_circle1; 60x60; 75x75; 103x103
mask_info_shutdown_circle2; 60x60; 75x75; 103x103
mask_info_shutdown_circle3; 60x60; 75x75; 103x103
mask_info_usb_plugged; 169x88; 211x110; 290x151
mask_inline_add; 14x14; 17x17; 23x23
mask_inline_curve; 14x14; 17x17; 23x23
mask_inline_dot; 10x10; 13x13; 18x18
mask_inline_fm; 14x14; 17x17; 23x23
mask_inline_inverted; 9x13; 11x16; 15x22
mask_inline_locked; 9x13; 11x16; 15x22
mask_inline_multiply; 14x14; 17x17; 23x23
mask_inline_replace; 14x14; 17x17; 23x23
mask_menu_edgetx; 98x20; 122x25; 168x34
mask_menu_favs; 24x24; 30x30; 41x41
mask_ui_bg_tile_top_left; 3x16; 4x20; 6x28
mask_ui_bg_tile_top_right; 3x16; 4x20; 6x28
mask_ui_bg_topbar_left; 36x36; 45x45; 62x62
mask_ui_bg_topbar_right; 36x36; 45x45; 62x62
mask_ui_btn_close; 24x24; 30x30; 41x41
mask_ui_btn_grid_large; 21x21; 26x26; 36x36
mask_ui_btn_grid_small; 21x21; 26x26; 36x36
mask_ui_btn_list_one; 21x21; 26x26; 36x36
mask_ui_btn_list_two; 21x21; 26x26; 36x36
mask_ui_btn_next; 21x21; 26x26; 36x36
mask_ui_btn_prev; 21x21; 26x26; 36x36
mask_widget_antenna; 14x14; 18x17; 25x23
mask_widget_gps; 14x14; 18x18; 25x25
mask_widget_timer; 50x50; 62x62; 85x85
mask_widget_timer_bg; 144x56; 180x70; 248x96
mask_widget_trim; 12x12; 15x15; 21x21
mask_widget_trim_shadow; 14x14; 17x17; 23x23
mask_widget_txbat; 19x10; 24x12; 33x17
mask_widget_txbat_charging; 4x12; 5x15; 7x21
mask_widget_usb; 18x8; 22x10; 30x14
mask_widget_volume0; 14x13; 18x16; 25x22
mask_widget_volume1; 12x13; 15x16; 21x22
mask_widget_volume2; 15x13; 19x16; 26x22
mask_widget_volume3; 19x13; 24x16; 33x22
mask_widget_volume4; 24x13; 30x16; 41x22
mask_widget_volume_scale; 12x13; 15x16; 21x22
