1	BetaFPV LiteRadio 3 Pro	X7	LR3PRO	x7-lr3pro	BW	128x64
2	FATFISH F16	X10	F16	f16	Color	480x320
3	FlySky EL18	PL18	EL18	el18	Color	320x480
4	FlySky NB4+	PL18	NB4P	nb4p	Color	320x480
5	FlySky NV14	PL18	NV14	nv14	Color	320x480
6	FlySky PL18	PL18	PL18U	pl18u	Color	480x320
7	FlySky PL18EV	PL18	PL18EV	pl18ev	Color	480x320
8	FrSky X-Lite	XLITE		xlite	BW	128x64
9	FrSky X10	X10	STD	x10	Color	480x272
10	FrSky X10 Express	X10	EXPRESS	x10-express	Color	480x272
11	FrSky X12S	X12S	13	x12s	Color	480x272
12	FrSky X12S Express	X12S	EXPRESS	x12s-express	Color	480x272
13	FrSky X7 Access	X7	ACCESS	x7-access	BW	128x64
14	FrSky X9 Lite	X9LITE		x9lite	BW	128x64
15	FrSky X9 Lite S	X9LITES		x9lites	BW	128x64
16	FrSky X9D	X9D		x9d	BW	212x64
17	FrSky X9D+	X9D+	2014	x9d+2014	BW	212x64
18	FrSky X9D+2019	X9D+	2019	x9d+2019	BW	212x64
19	FrSky X9E	X9E		x9e	BW	212x64
20	HelloRadioSky V12	X7	V12	v12	BW	320x240
21	HelloRadioSky V14	X7	V14	v14	BW	128x64
22	HelloRadioSky V16	X10	V16	v16	Color	480x272
23	iFlight Commando 8	X7	COMMANDO8	commando8	BW	128x64
24	Jumper Bumblebee	X7	BUMBLEBEE	bumblebee	BW	128x64
25	Jumper T-Lite	X7	TLITE	tlite	BW	128x64
26	Jumper T-Lite (F4)	X7	TLITEF4	tlite-f4	BW	128x64
27	Jumper T-Pro	X7	TPRO	tpro	BW	128x64
28	Jumper T-Pro S	X7	TPROS	tpros	BW	128x64
29	Jumper T-Pro V2	X7	TPROV2	tprov2	BW	128x64
30	Jumper T12	X7	T12	t12	BW	128x64
31	Jumper T12 Max	X7	T12MAX	t12max	BW	128x64
32	Jumper T14	X7	T14	t14	BW	128x64
33	Jumper T15	X10	T15	t15	Color	480x320
34	Jumper T16	X10	T16	t16	Color	480x272
35	Jumper T18	X10	T18	t18	Color	480x272
36	Jumper T20	X7	T20	t20	BW	128x64
37	Jumper T20 V2	X7	T20V2	t20v2	BW	128x64
38	Radiomaster Boxer	X7	BOXER	boxer	BW	128x64
39	Radiomaster GX12	X7	GX12	gx12	BW	128x64
40	Radiomaster MT12	X7	MT12	mt12	BW	128x64
41	Radiomaster Pocket	X7	POCKET	pocket	BW	128x64
42	Radiomaster T8	X7	T8	t8	BW	128x64
43	Radiomaster TX12	X7	TX12	tx12	BW	128x64
44	Radiomaster TX12 MkII	X7	TX12MK2	tx12mk2	BW	128x64
45	Radiomaster TX15	TX15		tx15	Color	480x320
46	Radiomaster TX16S	X10	TX16S	tx16s	Color	480x272
47	Radiomaster TX16S MK3	TX16SMK3		tx16smk3	Color	800x480
48	Radiomaster Zorro	X7	ZORRO	zorro	BW	128x64
